Galaxy Number,X coord,Y coord,X radius,Y radius,Pixel Count 
329,2020,3427,5,5,13724.0 
330,1322,693,8,8,30421.0 
331,448,1007,8,8,36481.0 
332,1331,3729,6,6,15000.0 
333,979,4478,6,6,15318.0 
334,1112,1849,7,8,30345.0 
335,2467,460,2,33,12467.0 
336,2086,4509,15,1,2313.0 
337,2469,1679,1,15,2121.0 
338,2167,1934,9,7,37246.0 
339,2168,1934,8,7,1056.0 
340,2201,1490,6,6,15180.0 
341,2363,3752,7,7,24510.0 
342,518,2653,9,10,48823.0 
343,783,2873,8,7,24690.0 
344,1956,2093,7,8,26407.0 
345,2223,2717,8,7,29979.0 
346,125,992,6,6,19604.0 
347,1483,794,6,6,16513.0 
348,932,1144,8,7,31874.0 
349,1062,1946,19,7,19926.0 
350,594,1613,7,7,23838.0 
351,1196,2267,11,7,41992.0 
352,1451,1123,6,6,12698.0 
353,1456,3465,12,38,42431.0 
354,1918,3965,10,9,48454.0 
355,743,1179,10,9,45761.0 
356,920,4279,6,5,12875.0 
357,124,2616,7,6,18146.0 
358,363,2221,8,8,33177.0 
359,473,2984,8,7,24690.0 
360,2294,4489,5,5,11809.0 
361,1170,2360,6,6,18267.0 
362,2468,484,1,8,1429.0 
363,1575,564,8,8,41309.0 
364,723,2226,11,8,52890.0 
365,477,4318,10,7,35523.0 
366,2129,2181,10,8,42539.0 
367,889,3281,7,7,18585.0 
368,2245,203,6,7,21490.0 
369,1239,2944,10,13,19984.0 
370,1951,2757,10,7,23914.0 
371,1030,374,8,8,28615.0 
372,1559,1777,9,8,41297.0 
373,2278,3171,5,6,12267.0 
374,1467,1349,7,5,14828.0 
375,2289,3506,7,6,18042.0 
376,214,715,8,8,28761.0 
377,1801,2116,9,10,47194.0 
378,1119,2796,8,9,34974.0 
379,1161,1673,7,8,28292.0 
380,2416,2313,11,7,32182.0 
381,2205,3547,8,8,11786.0 
382,1575,3585,11,8,38302.0 
383,1626,1674,5,5,12331.0 
384,697,508,8,7,24541.0 
385,2061,995,6,6,18213.0 
386,951,1991,6,5,14130.0 
387,1522,3299,86,93,412461.0 
388,122,1562,6,6,15145.0 
389,1501,4468,7,6,18462.0 
390,511,1522,9,9,30618.0 
391,1152,2892,8,8,18316.0 
392,1226,3205,17,11,31503.0 
393,280,760,13,11,68027.0 
394,818,1637,8,6,23132.0 
395,2468,1678,1,15,2203.0 
396,1365,4506,5,4,11015.0 
397,883,437,8,7,27724.0 
398,921,3404,9,10,46993.0 
399,925,2287,13,28,73423.0 
400,1880,144,5,6,12818.0 
401,813,2814,6,6,12650.0 
402,2058,2573,8,6,17340.0 
403,959,1117,8,7,25514.0 
404,2443,1751,6,5,11927.0 
405,1537,1859,6,6,17559.0 
406,989,2410,8,7,27134.0 
407,332,2435,9,7,25336.0 
408,2199,2109,7,7,24249.0 
409,2231,2068,9,8,44706.0 
410,966,1023,9,13,50701.0 
411,1782,2546,9,8,24289.0 
412,2279,4007,6,6,15270.0 
413,2143,4258,8,7,27890.0 
414,267,3485,7,7,19585.0 
415,2156,3048,5,6,11782.0 
416,2411,499,6,5,12455.0 
417,2455,1609,8,8,25503.0 
418,1148,4001,8,6,24077.0 
419,2220,3736,8,6,18594.0 
420,924,689,9,9,35053.0 
421,2012,3312,7,6,18324.0 
422,359,4109,6,5,11305.0 
423,360,4109,5,6,748.0 
424,2440,2957,6,6,14417.0 
425,1660,4392,11,8,38041.0 
426,1407,2258,6,5,13494.0 
427,1340,3536,7,6,13601.0 
428,2191,2878,8,7,20483.0 
429,2201,3471,10,8,36065.0 
430,2096,4509,5,1,775.0 
431,2000,1326,7,6,20262.0 
432,1064,1921,8,33,28561.0 
433,1770,3154,6,6,10056.0 
434,1850,1550,7,8,24784.0 
435,1950,2401,5,5,10763.0 
436,1525,3561,6,6,11768.0 
437,2216,4193,7,7,16941.0 
438,2468,458,1,34,2723.0 
439,1322,2395,5,5,9977.0 
440,1891,1397,7,7,25228.0 
441,636,3579,8,7,22168.0 
442,263,1897,6,5,11737.0 
443,1377,2551,8,5,18588.0 
444,885,2285,58,27,96266.0 
445,1202,2900,7,7,16499.0 
446,2328,3350,7,7,17051.0 
447,820,523,7,7,17283.0 
448,1654,1854,7,5,14584.0 
449,455,3989,6,5,11309.0 
450,2006,2101,7,8,22347.0 
451,1833,3973,6,7,14844.0 
452,1736,507,6,5,12527.0 
453,1244,1055,7,14,18776.0 
454,1753,1284,7,7,21013.0 
455,1976,2115,6,7,17259.0 
456,1709,2886,8,6,18907.0 
457,1457,3492,18,12,20115.0 
458,2468,485,1,7,1011.0 
459,1850,3095,6,5,10610.0 
460,1489,3497,6,5,9603.0 
461,2348,2008,9,8,30259.0 
462,2348,2009,10,7,2764.0 
463,597,3292,7,8,21512.0 
464,2087,1806,6,5,12021.0 
465,2453,2139,8,6,15338.0 
466,2336,530,6,6,15939.0 
467,1258,3352,9,8,15773.0 
468,759,1236,10,9,37024.0 
469,1604,3563,5,5,8053.0 
470,124,552,5,5,10735.0 
471,669,3315,6,7,15486.0 
472,668,3316,8,6,1093.0 
473,1204,3896,7,5,13273.0 
474,442,1316,7,6,16684.0 
475,2136,1475,6,6,12324.0 
476,972,3718,9,6,17205.0 
477,2185,258,6,7,17482.0 
478,850,2327,7,6,16693.0 
479,240,2763,6,14,32322.0 
480,240,2765,7,12,11003.0 
481,1818,3735,6,6,12471.0 
482,2467,457,2,36,6149.0 
483,2157,1325,6,6,13091.0 
484,174,1454,10,8,27887.0 
485,196,1587,8,8,24050.0 
486,2467,1677,2,16,4926.0 
487,407,556,6,5,10903.0 
488,578,2449,5,6,11411.0 
489,1721,2599,10,6,18317.0 
490,1350,3299,266,85,1771513.0 
491,1841,3064,5,5,7807.0 
492,2228,449,6,5,12945.0 
493,966,4178,5,5,8067.0 
494,2097,4510,4,1,693.0 
495,937,3830,6,10,22943.0 
496,2467,1686,2,7,2054.0 
497,1974,2741,6,5,11717.0 
498,1085,4057,6,6,10680.0 
499,1710,2600,21,5,12628.0 
500,275,3011,9,9,32444.0 
501,2154,3509,6,5,10668.0 
502,1973,3857,7,5,11548.0 
503,799,1055,5,5,9669.0 
504,1249,2012,6,5,10620.0 
505,2053,109,7,9,21118.0 
506,1040,725,6,5,10133.0 
507,1749,2135,6,5,12028.0 
508,928,3373,7,9,22537.0 
509,269,472,6,5,12134.0 
510,303,4396,8,8,22813.0 
511,1491,3453,9,12,17725.0 
512,586,137,6,7,16221.0 
513,108,208,7,7,14662.0 
514,1194,3701,5,6,7460.0 
515,1096,615,9,9,27131.0 
516,430,115,4,5,6538.0 
517,1668,2506,8,8,24559.0 
518,2386,846,4,5,7843.0 
519,945,3430,7,6,13308.0 
520,2085,4510,16,1,1225.0 
521,2407,167,6,6,12530.0 
522,1325,708,5,5,8534.0 
523,2251,4357,7,5,13251.0 
524,678,1769,8,8,26211.0 
525,979,1081,19,7,35260.0 
526,1975,3669,6,7,15579.0 
527,445,499,5,6,12618.0 
528,117,1272,6,6,11256.0 
529,2433,2936,7,6,13712.0 
530,1781,981,8,5,15844.0 
531,2468,486,1,6,664.0 
532,118,2061,6,5,11268.0 
533,2204,1035,6,4,10036.0 
534,2101,2776,5,6,9835.0 
535,932,3889,6,7,16088.0 
536,1581,3932,5,5,9085.0 
537,2009,104,13,11,7922.0 
538,1701,3926,5,4,6337.0 
539,1944,261,6,5,13995.0 
540,1657,2054,5,4,6931.0 
541,1334,2660,20,10,23951.0 
542,194,1050,5,5,8280.0 
543,949,2901,7,6,11779.0 
544,2388,3679,5,7,14708.0 
545,651,724,6,5,10181.0 
546,1572,3892,7,6,13539.0 
547,2191,3547,23,8,9745.0 
548,1741,1643,7,5,10890.0 
549,1004,2708,8,7,20019.0 
550,736,4486,5,6,10331.0 
551,831,1501,6,5,11508.0 
552,2123,4403,5,5,8683.0 
553,2325,2401,6,5,9761.0 
554,316,2940,6,4,7919.0 
555,2089,303,8,9,26183.0 
556,2362,1990,5,5,8527.0 
557,2030,221,7,5,13029.0 
558,2253,119,4,6,9050.0 
559,2251,120,7,5,2833.0 
560,1164,2044,9,8,24643.0 
561,616,2199,6,4,7640.0 
562,1933,2771,11,9,33870.0 
563,1934,2771,10,11,2107.0 
564,1794,3237,5,6,8091.0 
565,1958,281,7,5,12727.0 
566,774,2930,7,7,18244.0 
567,2358,3294,7,9,22133.0 
568,256,251,8,6,18015.0 
569,943,3344,4,5,6079.0 
570,2264,2275,7,5,11909.0 
571,1882,876,6,7,16434.0 
572,800,3320,15,41,84427.0 
573,594,3603,5,5,7162.0 
574,405,2382,5,5,7925.0 
575,1730,3346,7,7,8563.0 
576,1743,852,10,10,18274.0 
577,487,1658,6,7,16467.0 
578,2120,3148,8,6,9340.0 
579,1040,2586,6,7,6874.0 
580,1792,1459,6,4,7396.0 
581,2040,2634,6,7,13356.0 
582,2289,2638,9,7,11316.0 
583,1134,1695,7,6,15141.0 
584,2218,1816,6,5,8862.0 
585,1830,1970,6,5,10219.0 
586,649,1111,7,7,14713.0 
587,519,3138,6,6,10091.0 
588,2069,3314,5,5,8473.0 
589,2355,1826,5,4,6008.0 
590,105,2356,7,6,11286.0 
591,2046,3158,10,10,34476.0 
592,561,3259,5,8,14781.0 
593,1713,3329,17,15,9740.0 
594,2026,4129,6,5,9180.0 
595,373,1962,7,6,12391.0 
596,1964,4352,9,5,11498.0 
597,1913,1130,6,6,11810.0 
598,1844,4078,5,6,9877.0 
599,1529,4423,5,5,7151.0 
