Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
347,1202,2900,8,8,3873.0,3440.34322034,1416,18003,14.6616377963 
348,2328,3350,8,9,3872.0,3430.1252809,1780,20961,14.4964700051 
349,820,523,7,7,3871.0,3438.27306273,1084,17977,14.6632069539 
350,1654,1854,6,5,3869.0,3421.0525641,780,15334,14.8358613527 
351,1429,3840,1,4,3869.0,3444.5026738,187,3032,16.5956770076 
352,455,3989,6,5,3867.0,3425.70897436,780,12719,15.0388675817 
353,2006,2101,6,8,3864.0,3419.12358757,1416,23818,14.3577367727 
354,1273,509,1,9,3863.0,3436.86828423,1154,17915,14.6669579687 
355,1833,3973,7,7,3863.0,3427.20063025,952,15956,14.7926899309 
356,1736,507,6,5,3860.0,3413.19615385,780,13973,14.9367758524 
357,1244,1055,7,2,3860.0,3427.1628468,829,14506,14.8961308172 
358,1753,1284,7,7,3858.0,3419.46586716,1084,21385,14.4747268635 
359,1976,2115,6,6,3858.0,3420.75641026,780,17011,14.7231753886 
360,1709,2886,7,8,3858.0,3439.10310734,1416,21267,14.4807344223 
361,1850,3095,6,5,3855.0,3433.57051282,780,11481,15.1500507076 
362,1429,388,1,14,3853.0,3431.95065458,2979,11884,15.1125933922 
363,2348,2008,12,8,3852.0,3425.93639241,3160,36592,13.8915346318 
364,597,3292,8,9,3850.0,3429.70247934,1452,24435,14.3299691416 
365,2087,1806,6,5,3848.0,3418.84871795,780,13678,14.9599435015 
366,2453,2139,9,7,3848.0,3429.70603504,1541,20015,14.5466110139 
367,2336,530,6,6,3847.0,3412.24615385,780,16799,14.7367914248 
368,759,1236,11,9,3845.0,3420.36414671,2672,42311,13.7338667755 
369,1604,3563,6,7,3845.0,3438.70387454,1084,9871,15.3140971202 
