Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
280,2278,3171,5,6,4008,3423.587179,780,13874,14.94449577
281,1467,1349,6,5,4006,3419.692308,780,15541,14.8213026
282,2289,3506,7,6,4006,3423.596863,1084,19023,14.60180248
283,214,715,9,9,4001,3425.208989,1780,32050,14.03542992
284,1801,2116,11,10,3992,3416.168787,2672,52930,13.49074527
285,1388,107,8,9,3989,3444.918093,818,23584,14.36845633
286,1419,396,1,7,3987,3447.28184,848,19619,14.56830783
287,1119,2796,14,10,3986,3431.862836,4316,44816,13.67141727
288,1161,1673,7,8,3983,3420.385593,1416,30143,14.10203382
289,2416,2313,13,8,3982,3423.109286,3349,38304,13.84188968
290,1575,3585,13,9,3980,3439.276259,3732,44258,13.68502054
291,1626,1674,6,5,3979,3418.192308,780,14460,14.89957927
292,1441,307,1,5,3978,3426.855319,235,2096,16.9965218
293,697,508,8,8,3977,3428.955508,1416,26445,14.24414107
294,2061,995,5,6,3977,3414.837179,780,19230,14.59005179
295,951,1991,5,5,3977,3426.404255,564,13954,14.9382532
296,1480,130,2,1,3976,3418.066667,45,615,18.32781221
297,122,1562,6,6,3969,3422.439744,780,15984,14.79078632
298,1501,4468,7,6,3968,3430.888372,1075,19749,14.56113723
299,511,1522,10,11,3967,3435.550204,2450,36808,13.88514445
300,1152,2892,9,9,3967,3452.57298,1473,19653,14.56642786
301,280,760,14,11,3966,3424.024328,4316,78331,13.06516582
302,818,1637,8,7,3965,3425.003531,1416,30085,14.10412496
303,1365,4506,8,4,3964,3419.848521,845,17419,14.69744195
304,883,437,8,7,3962,3425.532486,1416,29528,14.12441492
305,1880,144,5,6,3953,3409.910256,780,14489,14.89740397
306,813,2814,6,5,3953,3433.657692,780,13131,15.0042555
307,2058,2573,8,6,3949,3424.225989,1416,20035,14.54552663
308,959,1117,8,8,3945,3424.583333,1416,27728,14.19270364
309,2443,1751,7,5,3943,3433.411439,1084,13883,14.94379169
310,1537,1859,7,5,3942,3417.787823,1084,20027,14.54596026
311,989,2410,8,7,3942,3427.540152,1320,28933,14.14651633
312,332,2435,9,8,3942,3426.082292,1361,29685,14.11865737
313,1445,420,1,6,3940,3425.345098,255,2333,16.88021315
314,2199,2109,8,7,3940,3417.592514,1416,27917,14.18532813
315,2231,2068,10,9,3938,3419.890794,2216,51838,13.51337941
316,966,1023,10,13,3933,3424.997588,3732,58782,13.3768891
317,1782,2546,11,9,3933,3428.60479,2672,31333,14.05999505
318,2279,4007,6,6,3933,3420.123077,780,16033,14.78746302
319,2143,4258,9,8,3928,3412.991525,1770,31648,14.04913433
320,267,3485,6,7,3924,3423.245387,1084,20283,14.53216952
321,2156,3048,6,6,3921,3430.483085,739,13253,14.99421451
322,2411,499,5,5,3920,3415.987589,564,12632,15.04631971
323,2455,1609,10,9,3919,3433.544202,1742,29191,14.13687757
324,1148,4001,9,7,3918,3423.936517,1780,32726,14.01276768
325,2220,3736,9,6,3917,3422.975843,1780,21006,14.4941416
326,924,689,9,10,3916,3425.318592,2216,37866,13.85437642
327,2012,3312,8,6,3915,3427.629237,1416,22453,14.42181406
328,1446,532,1,10,3914,3422.305307,1451,2004,17.04525571
329,359,4109,6,5,3914,3425.233333,780,12363,15.06969033
330,2440,2957,6,6,3911,3424.592308,780,14462,14.89942911
331,1660,4392,11,8,3911,3417.347305,2672,41959,13.74293718
332,1407,2258,6,5,3910,3421.620513,780,15123,14.85090512
333,1340,3536,8,6,3908,3447.611582,1416,14620,14.88763157
334,2191,2878,10,7,3907,3420.139892,2216,25401,14.28787296
335,2201,3471,11,8,3904,3418.668413,2672,41754,13.74825478
